Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
,21.0,4.1,2019,Temizlik Benim Isim,"Comedy, Romance, Back to top",1 seasons,30,D Production,"Leyla Lydia Tugutlu, Furkan Andic, Cagri Citanak, Leyla Lydia Tugutlu, Furkan Andic, Cagri Citanak"
,0.0,,2015–,TepkiKolik,"Comedy, Back to top",1 seasons,Unknown,,"Ebru Akel, Murat Basoglu, Kivanc Ivriz, Ebru Akel, Murat Basoglu, Kivanc Ivriz"
,0.0,,2023–,Terapi,"Drama, Mystery, Thriller, Back to top",1 seasons,13,O3 Medya,"Burak Deniz, Sükrü Özyildiz, Büsra Develi, Burak Deniz, Sükrü Özyildiz, Büsra Develi"
A therapist begins to suspect his clients after the murder of his wife.,1100.0,7.2,2021,Terapist,"Talk-Show, Back to top",1 seasons,1,,"Seyfi Dursunoglu, Seyfi Dursunoglu"
,62.0,1.6,2021–,Teras Noir,"Talk-Show, Back to top",1 seasons,1,,"Tayfun Erkan, Tayfun Erkan"
,0.0,,2014,Terfi,"Drama, Back to top",2 seasons,13,MF Yapim,"Elif Kurtuaran, Merve Sen, Feride Çetin, Elif Kurtuaran, Merve Sen, Feride Çetin"
"The adventures of Devin, who dressed as a man to work on the sports page of a newspaper.",27.0,6.3,2005,Ters Köse,"Animation, Back to top",2 years,13,,
,0.0,,2018,Ters Yön,"Drama, Back to top",2 years,8,Most Production,"Basak Köklükaya, Ahu Türkpençe, Tardu Flordun, Basak Köklükaya, Ahu Türkpençe, Tardu Flordun"
,0.0,,2000,Tersine Dünya,"Documentary, Biography, Back to top",2 years,3,,"Alp Bugdayci, Seyfi Dursunoglu, Alp Bugdayci, Seyfi Dursunoglu"
A famous tailor begins to sew a wedding dress for his best friend's fiance- but all three have dark secrets that will soon upend their lives.,5000.0,6.2,2023,Terzi,"Drama, Back to top",4 seasons,133,,"Ergun Kuyucu, Ozan Çobanoglu, Süleyman Karadag, Ergun Kuyucu, Ozan Çobanoglu, Süleyman Karadag"
"It presents the institutional culture, equipment, knowledge and technical skills of the Turkish National Police, the love of its personnel for their homeland, in short, the entire power of the police force.",131.0,6.0,2017–2018,Teskilat,Back to top,1 seasons,Unknown,,"Cansu Kurnaz, Cansu Kurnaz"
"Iskender's son dies as a result of an accident. The accused is Metin, Korkmaz's son, whom he lost 22 years ago. Now the two friends are against each other for their sons.",145.0,5.7,2023,Tetikçinin Oglu,"Talk-Show, Back to top",1 seasons,Unknown,,"Okan Bayülgen, Irem, Tolga Üstün, Okan Bayülgen, Irem, Tolga Üstün"
,0.0,,2021–,Teve2 Magazin Masasi,"Reality-TV, Back to top",2 seasons,15,,
National Intelligence Organization members are always ready to serve to destroy the enemies of Turkey.,2200.0,6.6,2021–,Teşkilat,"Game-Show, Reality-TV, Back to top",1 seasons,8,Talya Production,"Kadir Ezildi, Kadir Ezildi"
"It was the most unusual cine-show in the history of Turkish TV stations. It had treated cinema like a science and discussed it with scientists, philosophers and not with a superficiality suitable for the taste of the weekend audience.",0.0,,2010,The Assembly of Cinema,"Talk-Show, Back to top",3 years,15,,
"Felix is a software developer who works for the department of software at an important anti-virus company. Beside that he is completing the missing parts of software on the games which are produced by game companies, eventually he gets an offer from the world famous game company called R.W games. This offer is about fixing the software errors as usual.",5800.0,8.3,2017–2020,The Cheat,"Drama, Back to top",1 seasons,Unknown,106 Film,"Nükhet Akkaya, Yaman Ceri, Sila Erkan, Nükhet Akkaya, Yaman Ceri, Sila Erkan"
,0.0,,2017,The Children of Darkness,"Crime, Drama, Mystery, Back to top",1 seasons,7,90 Film Production,"Muhammet Uzuner, Murat Kiliç, Zeynep Çamci, Muhammet Uzuner, Murat Kiliç, Zeynep Çamci"
"The Crossroads with Martin Anthony is a weekly look at Turkey from a western perspective. Hosting many guests from all walks of life, Martin shared some of the great people that live and work at the world's 'crossroads'.",22.0,5.8,2009–2010,The Crossroads with Martin Anthony,"Talk-Show, Back to top",2 years,25,Zorlu Center PSM,"Meric Aral, Efe Tuncer, Hazal Kaya, Meric Aral, Efe Tuncer, Hazal Kaya"
"How are we going to lift the veiled sheets of the word remember this season? Of course,remember your name,your life, everything that belongs to you, but how will you remember who you are? Eren is a valet at a bar. One day he gets into an accident with a customer's car, which he kidnaps to take him for a ride.",90.0,8.9,2021,The Cruise,"Talk-Show, Back to top",1 seasons,Unknown,Onpro,
,0.0,,2019–,The Evliya Çelebi Guide to World Cities,"Comedy, Back to top",1 seasons,45,,"Çaglar Çorumlu, Özlem Türkad, Tuba Erdem, Çaglar Çorumlu, Özlem Türkad, Tuba Erdem"
,0.0,,2011–,The Executives,"Action, Back to top",1 seasons,Unknown,Stüdyomavi,
,0.0,,2017,The Gravity of the Mind,"Comedy, Back to top",1 seasons,Unknown,,"Tuncay Akça, Halit Akçatepe, Isik Aras, Tuncay Akça, Halit Akçatepe, Isik Aras"
,0.0,,2013–2014,The Hollywood File,"Drama, Mystery, Thriller, Back to top",3 seasons,23,OGM Pictures,"Onur Güvenatam, Çagatay Ulusoy, Salih Bademci, Sifanur Gül, Onur Güvenatam, Çagatay Ulusoy, Salih Bademci, Sifanur Gül, Onur Güvenatam"
,22.0,6.4,2014,The Pursuit of Revelation,"Action, Drama, Back to top",4 seasons,89,Tims & B Productions,"Serdar Yegin, Deniz Baysal, Ahmet Ugur Say, Serdar Yegin, Deniz Baysal, Ahmet Ugur Say"
,0.0,,2016–,The Rough Ground,"Crime, Back to top",2 years,39,Atlantic Medya Marketing,"Ayla Çetinkaya, Pepe, Özcan Özdemir, Ayla Çetinkaya, Pepe, Özcan Özdemir"
"""Rough Land"" is the story of the people who are not afraid of facing themselves and things they have done in the past. They have had a series of incidents which are influencing their lives today - People from three different generations are united to define the meaning of holding together and be human again. They prove only love and tenderness are the reasons behind the survival and unity of mankind. Real samples of the characters can be found all around the world these days. They are the people who never forget helping others and be kind despite the bumpy road of life.",0.0,,2016–,The Rough Land,"History, Back to top",1 seasons,10,,"Anthony Oyemah, Öykü Celik, Ali Ersan Duru, Anthony Oyemah, Öykü Celik, Ali Ersan Duru"
,0.0,,2016,The Sorika,"Action, Back to top",1 seasons,7,"O3 Medya, Same Film","Timuçin Esen, Sevket Çoruh, Genco Ozak, Timuçin Esen, Sevket Çoruh, Genco Ozak"
A Turkish adaptation of 'The World's Strictest Parents'.,0.0,,2010–2011,The World's Strictest Parents,"News, Back to top",1 seasons,4,,
,0.0,,2019–,They (HOMM),"Talk-Show, Back to top",1 seasons,8,Cine5,"Ali Murat Güven, Ali Murat Güven"
,51.0,5.5,2002,Ti Show,"Action, Drama, Sci-Fi, Back to top",3 seasons,24,"FF Yapim, ILS Vision","Taha Ulukaya, Neslihan Ulusoy, Andac Semerci, Taha Ulukaya, Neslihan Ulusoy, Andac Semerci"
"In this series, we met Tibi a beautiful smart and clever girl and her friend Pisi a funny cat, they traveling together, and fight with problems and they learn new lesson from them adventures. The series location is a Istanbul. The story is based on the two main characters and what's going to happen in each episode.",0.0,,2016–2017,Tibi ile Pisi,"Action, Crime, Fantasy, Back to top",1 seasons,Unknown,"DBC Studios, Dbc studios","Ebrar Kara, Emre Birsen, Eren Taylan, Ebrar Kara, Emre Birsen, Eren Taylan"
,0.0,,2021,Tiyatro Zamani,"Talk-Show, Back to top",2 seasons,65,6News,"Martin Huhn, Martin Huhn, Stewart Copeland, Michael Constantine, Martin Huhn, Martin Huhn, Stewart Copeland, Michael Constantine, Martin Huhn"
"Until now, the director is endless and often trying to fulfill absurd requests without any text in his hand, Tolga Cevik opens the rebellion flag and takes the yarn by hand. 'Tolgshow' which will host a famous guest at the new season is also very cheerful, again very funny and also improvising every moment.",2000.0,7.8,2017–2021,Tolgshow,"Action, Crime, Drama, Back to top",1 seasons,8,Merbar Yapim,"Memet Roj, Hazar Deniz BG, Cansu Gamze Durmus, Memet Roj, Hazar Deniz BG, Cansu Gamze Durmus"
,0.0,,2011–2012,Tonga,"Documentary, Back to top",1 seasons,6,Doku Film,"Omer Faruk Aksoy, Omer Faruk Aksoy"
,11.0,2.4,2006,Top Model Türkiye,"News, Back to top",1 seasons,Unknown,"6 NEWS - Alti Uluslararasi Medya Yayinciligi, Neuquén","Stephen Marney, Stephen Marney"
"After a traffic accident, he stays in a coma for 5 years and does not remember anything when he wakes up. Something doesn't quite fit for Toprak, who has to adopt only the things she's been told about her life. His mother Keriman forces Toprak to marry Aydan, whom he says is his fiancee. Fidan lost her husband and child 5 years ago and lives with her sick father and stepmother. Halide, who has been the servant of Toprak and her mother Keriman for many years; He is one of the two people who know the truth, and unable to suppress his sense of guilt any longer, he goes to Fidan with Toprak to tell the truth. Seeing Ercan attacking Fidan, Toprak intervenes and saves Fidan. Fidan cannot understand who Toprak is, who is very similar to her deceased husband Nejat, but feels close to both her and her son Burak. Ercan does not leave Fidan, who is taken to the hospital, and makes new plans for Fidan to say yes to him.",45.0,5.3,2022–,Toprak ile Fidan,"Action, Crime, Fantasy, Back to top",1 seasons,Unknown,Dbc studios,"Ebrar Kara, Emre Birsen, Eren Taylan, Ebrar Kara, Emre Birsen, Eren Taylan"
,0.0,,2018,Tortu,"Talk-Show, Back to top",1 seasons,26,Blue Mask Productions,"Serah Henesey, Serah Henesey"
,0.0,,2006,Torun ve Torunu,"Comedy, Back to top",1 seasons,9,,"Hazar Deniz BG, Cansu Gamze Durmus, Hazar Deniz BG, Cansu Gamze Durmus"
,0.0,,2021,Tosun,"Action, Adventure, Drama, Back to top",4 seasons,32,"O3 Medya, Netflix Studios, Netflix","Binnur Karaevli, Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Binnur Karaevli, Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Binnur Karaevli"
"The project for children's series called Tozkoparan; The story of Mete, a young child with lung disease who lives in Istanbul, started to be relocated to a small town for the treatment of his worsening illness.",267.0,5.6,2018–2020,Tozkoparan,"Drama, Back to top",1 seasons,1,,"Oguz Yagci, Onur Bilge, Soydan Soydas, Oguz Yagci, Onur Bilge, Soydan Soydas"
"If Iskender, a 12-year-old archer with extraordinary abilities, does not return from 2020 to the time he lived, the course of history will change.",389.0,6.0,2021–,Tozkoparan Iskender,"Drama, Back to top",1 seasons,Unknown,GEM Production co,"Majid Adle, Majid Adle"
,205.0,5.7,2023–,Tozkoparan Iskender Gölge,"Drama, Back to top",1 seasons,1,GEM Production,"Bahman Mofid, Morteza Aghili, Farzaneh Davari, Bahman Mofid, Morteza Aghili, Farzaneh Davari"
,0.0,,2013,Tozlu Yollar,"Talk-Show, Back to top",1 seasons,1,,"Ahsen Yildirim, Ahsen Yildirim"
The story revolves around a boy named Ali and his friends who take admission in a high profile school to investigate the murder of their best friend Vefa who was studying in the same school on scholarship.,594.0,5.7,2022,Tozluyaka,"Reality-TV, Back to top",2 seasons,20,,
,0.0,,2012–2013,Tribe,Back to top,1 seasons,Unknown,,"Arafat Aldeek, Ayham Assaf, Yousef Bakr, Arafat Aldeek, Ayham Assaf, Yousef Bakr"
,0.0,,2018,Tufa - Bulusma,"Comedy, Back to top",1 seasons,Unknown,ANS,"Haluk Bilginer, Emrah Elçiboga, Burcak Isiner, Haluk Bilginer, Emrah Elçiboga, Burcak Isiner"
The healing processes of animals struggling with diseases are explained.,29.0,7.0,2021,Tugay Inanoglu ve Dostlari,"Animation, Back to top",1 seasons,Unknown,Blue Crow,
,0.0,,2013,Tuhaf Taksi,Back to top,1 seasons,2,,"Erdinc Dogan, Sahin Koray Doganyigit, Berrin Demir, Erdinc Dogan, Sahin Koray Doganyigit, Berrin Demir"
,0.0,,2021–,Turkey Bucket List,"Comedy, Talk-Show, Back to top",3 seasons,46,"25 Film, Yirmibes Film","Tolga Çevik, Firat Parlak, Özer Atik, Tolga Çevik, Firat Parlak, Özer Atik"
,0.0,,2010,Turkiye'nin Tek Taslari,"Animation, Back to top",1 seasons,Unknown,"Marti Animation, SPI International","Nick Stellate, Nick Stellate"
,31.0,4.2,2004,Turkstar,"Comedy, Back to top",1 seasons,Unknown,Hayal Mahsulleri Ofisi,"Ismail Baki Tuncer, Ismail Baki Tuncer"
,21.0,2.6,2015–2016,Tutar mi Tutar,"Reality-TV, Back to top",1 seasons,Unknown,,"Cengiz Abazoglu, Deniz Akkaya, Ugurkan Erez, Cengiz Abazoglu, Deniz Akkaya, Ugurkan Erez"
,0.0,,2001–2002,Tutku Çemberi,"Drama, Back to top",2 years,101,"OGM Pictures, Stellar Yapim","Hazal Adiyaman, Osman Aydin, Asuman Bora, Hazal Adiyaman, Osman Aydin, Asuman Bora"
,0.0,,2022–,Tutkum Bogusmak,"Horror, Back to top",1 seasons,Unknown,,"Ümit Aslan, Asli Cetin, Mahmut Cosgun, Ümit Aslan, Asli Cetin, Mahmut Cosgun"
"Elif, who is a cheerful, innocent, proud and beautiful young girl who is looking forward to life with hope, was forcibly married to a 30-year-old man by her uncle by the death of her family. Elif lives a prisoner life where her husband can not even leave the house under the threat of Sadullah.",61.0,3.7,2017,Tutsak,"Comedy, Back to top",1 seasons,Unknown,,"Ugur Aslanoglu, Yilmaz Köksal, Ugur Aslanoglu, Yilmaz Köksal"
"Tarik, who has never worked in his life, falls in love with Irem in a job interview. Having no place to go, Irem comes to the neighborhood where Tarik lives and starts to work at the book cafe in the neighborhood. Irem's dream is to be successful, to establish her own business and to return to her old days one day.",1300.0,7.4,2020,Tutunamayanlar,"Adventure, Fantasy, Back to top",3 seasons,55,Veya Yapim,"Özgür Ege Nalci, Leya Kirsan, Burak Kut, Özgür Ege Nalci, Leya Kirsan, Burak Kut"
,81.0,6.6,2020,Tutunamayanlar: Çevrimiçi,"Adventure, Fantasy, Back to top",2 seasons,40,Fotoroman Film,"Gökmen Tugral Batuhan, Çagan Efe Ak, Deniz Erayvaz, Gökmen Tugral Batuhan, Çagan Efe Ak, Deniz Erayvaz"
"In a world where it is hard to tell who is good and who is bad, what is real and what is fake, these three brothers, united by a common goal, will discover that they are not as connected as they thought.",707.0,7.0,2022–2023,Tuzak,"Sci-Fi, Back to top",2 seasons,11,TRT Dijital,"Çagan Efe Ak, Alp Ilkman, Deniz Erayvaz, Çagan Efe Ak, Alp Ilkman, Deniz Erayvaz"
,0.0,,2001,Tuzu Kurular,"Drama, Back to top",1 seasons,6,,"Sinan Gülsen, Nihat Altinkaya, Seda Akman, Sinan Gülsen, Nihat Altinkaya, Seda Akman"
,61.0,5.6,2020–2021,Tövbeler Olsun,"Drama, Back to top",1 seasons,26,NTC Medya,"Dolunay Soysert, Emre Kinay, Tayanç Ayaydin, Dolunay Soysert, Emre Kinay, Tayanç Ayaydin"
,58.0,3.3,2011–2012,Tövbeler Tövbesi,"Documentary, Back to top",1 seasons,Unknown,Babil Medya,
,44.0,3.6,2004,Tür,"Sport, Back to top",1 seasons,1,Wenedik Films,"Bülent Çetinaslan, Firat Çöloglu, Deniz Saribas, Bülent Çetinaslan, Firat Çöloglu, Deniz Saribas"
Music performances by jazz artists.,0.0,,2021–,Türk Caz Standartlari Enstitüsü,"Reality-TV, Back to top",1 seasons,8,,"Tugay Inanoglu, Tugay Inanoglu"
"It is the 2nd version of Türk Mali. The new life of Erman Kuzu, who is divorced from Abiye, is told in the series.",275.0,2.7,2017,Türk Mali,"Comedy, Back to top",1 seasons,19,25 Film,"Abdurrahman Yunusoglu, Abdurrahman Yunusoglu"
,14.0,5.5,2020,Türk Okçulugunun Serüveni,"Documentary, Back to top",1 seasons,13,Turkish Radio & Television (TRT),
,176.0,2.6,2012,Türk'ün Uzayla Imtihani,"Game-Show, Music, Reality-TV, Back to top",1 seasons,17,"Kanal D, Medyapim","Seray Sever, Gamze Özçelik, Ercan Saatçi, Seray Sever, Gamze Özçelik, Ercan Saatçi"
"The real life of Turkan Saylan, an education volunteer and a pioneer in the fight against leprosy.",187.0,6.7,2010–2011,Türkan,"Comedy, Back to top",1 seasons,4,BKM,"Ceyda Ates, Cahit Gök, Selen Uçer, Ceyda Ates, Cahit Gök, Selen Uçer"
,0.0,,2020–2021,Türkan Hanim'in Konagi,"Drama, Back to top",1 seasons,Unknown,Turkish Radio & Television (TRT),"Tayfun Eraslan, Nurhayat Kavrak, Çetin Tekindor, Tayfun Eraslan, Nurhayat Kavrak, Çetin Tekindor"
"Cultural structures, symbolic works and history of cities.",0.0,,2020–2021,Türkiye Atlasi,"Comedy, Talk-Show, Back to top",2 years,29,,"Utku Ergin, Utku Ergin"
"Architecture, gastronomy, culture and nature - We are re-discovering the cities of Turkey from different perspectives.",0.0,,2019,Türkiye Ekspresi,"Drama, Back to top",1 seasons,9,"1441 Productions, 1441 Yapim","Pamir Pekin, Gülper Özdemir, Caner Sahin, Pamir Pekin, Gülper Özdemir, Caner Sahin"
"""Orhan Aksoy, the ""Shooter Killer"" Süleyman Aktas, who is remembered as ""Orhan Aksoy"", ""The Kolici Killer"" ""Çumra Canav"" Abdullah Aksoy as ""Çumra Canav"" and the death hunter, the life of Hamdipinar as the prey he killed, the life of Hamdipinar as the inside. 's, ""life from the rock, drink."" , committing a crime and motivation are discussed.",150.0,8.0,2021,Türkiye'deki Seri Katiller,"Action, Drama, Romance, Back to top",1 seasons,Unknown,Arti Film,"Ugur Polat, Ezo Sunal, Kaan Urgancioglu, Ugur Polat, Ezo Sunal, Kaan Urgancioglu"
,0.0,,2017,Türkiye'nin 68'i,"Comedy, Back to top",1 seasons,15,"Istanbul Media Academy, Istanbul Medya Akademisi, Neden Film","Dogu Demirkol, Ece Çesmioglu, Zafer Algöz, Dogu Demirkol, Ece Çesmioglu, Zafer Algöz"
,0.0,,2022–,Türkiye'nin Dev Yapilari,"Comedy, Back to top",1 seasons,7,"Istanbul Medya Akademisi, Neden Film",
,0.0,,2004,Türkü Filmi,"Drama, Back to top",2 years,29,"Acun Medya, Fabrika Yapim","Talat Bulut, Akin Akinözü, Bensu Soral, Talat Bulut, Akin Akinözü, Bensu Soral"
Roar TV focuses on filming within the UAA campus and sharing news with the students. The episodes can be found on Youtube under the channel UAA Roar TV.,0.0,,2018–2020,UAA Roar TV,"Comedy, Back to top",1 seasons,Unknown,,"Banu Alkan, Ugur Aslanoglu, Sevgi Berna Biber, Banu Alkan, Ugur Aslanoglu, Sevgi Berna Biber"
,15.0,6.9,2019,Ucuz Hayatlar,"Comedy, Back to top",2 years,32,Milim Sanat,"Güven Kiraç, Ipek Tuzcuoglu, Erkan Can, Güven Kiraç, Ipek Tuzcuoglu, Erkan Can"
Three girls in high school made a prank on the fourth girl and caused her to be expelled from the high school with her teacher. After 20 years they got together in a high society environment.,3200.0,7.3,2017–2018,Ufak Tefek Cinayetler,"Drama, Back to top",2 years,2,,"Keremcem, Ozlem Ulukan, Gözde Mutluer, Keremcem, Ozlem Ulukan, Gözde Mutluer"
Serdar Kilic travels around the world and explores the nature by witnessing the culture and traditions of people living in the wild.,34.0,7.2,2019–,Ulak,"Documentary, Back to top",1 seasons,Unknown,TRT 2,
A group of thieves act like a family and help people by stealing in Istanbul.,2800.0,7.3,2014–2015,Ulan İstanbul,"Comedy, Family, Fantasy, Back to top",1 seasons,8,Süreç Film,"Safak Sezer, Mehmet Ali Erbil, Hasibe Eren, Safak Sezer, Mehmet Ali Erbil, Hasibe Eren"
"Different cities, different lives and different crimes are totally changed by the right to read the 7 genino lives presented to them. Onur, the son of a wealthy family, gained the right to read in Firat, Azad, Kömür, Nazli, Peri and Narin thanks to a bill initiated for him. They are both students and now convicted.",103.0,6.6,2016–2017,Umuda Kelepçe Vurulmaz,"Comedy, Back to top",2 seasons,33,Show TV,"Safak Sezer, Osman Sonant, Hazal Senel, Safak Sezer, Osman Sonant, Hazal Senel"
,45.0,6.2,2011–2012,Umut Yolculari,"Documentary, Drama, History, Back to top",1 seasons,6,Ikinci Yeni Film,"Ibrahim Balaban, Janbi Ceylan, Hasan Caskurlu, Ibrahim Balaban, Janbi Ceylan, Hasan Caskurlu"
"The lives of five homemakers, including their relationships with one another, their families, and--mostly--their neighbors.",716.0,5.2,2011–2014,Umutsuz Ev Kadinlari,"Comedy, Sci-Fi, Back to top",1 seasons,1,Süreç Film,"Mustafa Aydogan, Hüseyin Damarhan, Emre Karaca, Mustafa Aydogan, Hüseyin Damarhan, Emre Karaca"
,17.0,5.9,2023,UniversDeli,"Biography, Back to top",2 years,26,Koliba Film,"Pinar Ögün, Fatih Koyunoglu, Özgürcan Cevik, Pinar Ögün, Fatih Koyunoglu, Özgürcan Cevik"
"Two geniuses who love each other crazy, the story of their passionate love. A drama story prepared by Emrah's popular song Unutabilsem at the time.",45.0,5.6,1998–1999,Unutabilsem,"Drama, Back to top",2 years,26,Tuva Yapim,"Deniz Degirmenci, Sude Aydin, Aysen Inci, Deniz Degirmenci, Sude Aydin, Aysen Inci"
"The progress of two lovers from darkness to light, from sadness to joy, from pain to happiness, the journey of reuniting with each other, carrying a love that cannot be conveyed from eyes to words.",147.0,2.4,2008–2016,Unutma Beni,"Documentary, Back to top",1 seasons,Unknown,TRT 2,
The tragic and vengeful story of two sisters who fall in love with the same man.,107.0,6.6,2009–2011,Unutulmaz,"Documentary, Back to top",1 seasons,Unknown,TRT 2,
"Mehmet Bozoglu other 'Yanik Memed'; along with his five sons, are the leaders of the Urfa nights. A family who organizes ""Row Nights"" in Sanliurfa escapes from the blood case and comes to Istanbul.",60.0,3.9,2014,Urfaliyam Ezelden,"Documentary, Crime, Mystery, Back to top",1 seasons,5,"Mordak Productions, Çinar Yapim","Murat Kurt, Deniz Çikmaz, Murat Kurt, Deniz Çikmaz"
,7.0,7.4,2019–,Usta Eller Masali,"Documentary, Back to top",1 seasons,2,,"Tuncel Kurtiz, Ertugrul Kürkçü, Metin Esrefoglu, Tuncel Kurtiz, Ertugrul Kürkçü, Metin Esrefoglu"
"Hakan, who came to the Black Sea from Istanbul to inherit his legacy, will not be able to leave easily.",126.0,7.3,2004,Uy Basuma Gelenler,Back to top,1 seasons,5,,"Tolga Gürsoy, Tolga Gürsoy"
"The war of the Great Seljuk Emperor, Meliksah and her loyalist, Sencer against Hasan Sabbah, who is sworn to destroy the Seljuks.",4600.0,7.9,2020–2022,Uyanış: Büyük Selçuklu,"Comedy, Drama, Romance, Back to top",1 seasons,52,,"Volkan Adiyaman, Tugba Agaoglu, Savas Ak, Volkan Adiyaman, Tugba Agaoglu, Savas Ak"
,51.0,6.8,2018,Uykucu,"News, Back to top",3 seasons,9,,
The program consists Okan interviewing various celebrities and segments of his unique brand of humour.,216.0,7.3,2019–,Uykusuzlar Kulübü,"Documentary, Back to top",1 seasons,8,ESENEM Film Yapim,
"In the haze of a midlife crisis, an architect begins living a double life as a punk while members of his family lead their own crisis-ridden lives.",6500.0,7.1,2022,Uysallar,"Action, Crime, Drama, Back to top",2 seasons,45,Ay Yapim,"Gökçe Bahadir, Aslihan Gürbüz, Mert Firat, Gökçe Bahadir, Aslihan Gürbüz, Mert Firat"
,18.0,6.3,2020,Uzak Ara Eglence,"Documentary, Back to top",5 years,14,TRT,"Serdar Kilic, Serdar Kilic"
"The earthquake in Demirkan Mansion that night shakes all the stones in Umay's life. For Umay, who has endured the cruelty of her husband Affan for years for her children, this event was the last straw. She takes her children and leaves the house.",99.0,6.4,2021,Uzak Sehrin Masali,"Comedy, Crime, Back to top",2 years,39,D Production,"Sebnem Bozoklu, Erkan Kolçak Köstendil, Kaan Yildirim, Sebnem Bozoklu, Erkan Kolçak Köstendil, Kaan Yildirim"
,0.0,,2013–2014,"Uzay, Evren ve Biz","Drama, Back to top",2 years,15,Bi Yapim,"Begüm Birgören, Mert Yazicioglu, Melisa Senolsun, Begüm Birgören, Mert Yazicioglu, Melisa Senolsun"
,13.0,8.1,2018–,UzayZuhal,"Crime, Back to top",1 seasons,1,Erler Film,"Sevda Karabulut, Marius Toma, Yunus Günçe, Sevda Karabulut, Marius Toma, Yunus Günçe"
,11.0,5.8,2007–2008,Uzman Avı,"Drama, Mystery, Romance, Back to top",3 seasons,154,Medyapim,"Songül Öden, Ceyda Düvenci, Özge Özder, Songül Öden, Ceyda Düvenci, Özge Özder"
,0.0,,2015–2018,Uçankus'ta Kültür Sanat,"Documentary, Back to top",1 seasons,1,Fincan Medya,"Göktan Eker, Göktan Eker"
Describes the battle to save a girl trapped in prostitution gang.,188.0,7.4,2012–2013,Uçurum,"Comedy, Back to top",1 seasons,10,16x9 Film Yapim,"Wayne LeGette, Berat Yenilmez, Taha Bora Elkoca, Wayne LeGette, Berat Yenilmez, Taha Bora Elkoca"
"They become a part to a crime and fall for each other again. What are they going to do now? ""Wild Things"" questions the anatomy of marriage getting lost in the action and comedy.",429.0,4.8,2021–,Vahsi Seyler,"Drama, Back to top",1 seasons,44,,"Tugrul Arsever, Suzan Avci, Burcu Basaran, Tugrul Arsever, Suzan Avci, Burcu Basaran"
"On the compass where the trade routes of three continents intersect, Central Asia, Egypt and Europe have always been under the influence of the civilizations, has always maintained its importance, has been home to many civilizations and has come and gone at a short interval, all of which have left a part of the island of Cyprus.",0.0,,2004–2005,Vakiflar Adasi Kibris,"Drama, Back to top",9 years,1702,Focus Film Production,"Osman Karakoç, Didem Özkavukçu, Hazal Türesan, Osman Karakoç, Didem Özkavukçu, Hazal Türesan"
,6.0,5.8,2011,"Vapurda Çay, Simit, Sohbet","Drama, Back to top",2 seasons,90,,"Yücel Erten, Ahmet Uz, Ali Mert Yavuzcan, Yücel Erten, Ahmet Uz, Ali Mert Yavuzcan"
The fun adventures of two close friends who are dragged into the inextricable monotony of daily life.,556.0,7.7,2022–2023,Var Bunlar,"Drama, Back to top",1 seasons,11,Gold Film,"Bülent Inal, Öykü Gürman, Dolunay Soysert, Bülent Inal, Öykü Gürman, Dolunay Soysert"
,233.0,2.7,2007–2017,Var misin? Yok musun?,"Documentary, Back to top",2 seasons,7,Evreka Medya Film,"Musa Tunç, Hüseyin Güllü, Mahmut Ayhan, Musa Tunç, Hüseyin Güllü, Mahmut Ayhan"
"During the occupation of Izmir by the Greeks, a Turkish soldier starts to work for the enemy. But he is not really on the side of the enemy. He must keep this secret at the cost of losing his family.",5300.0,8.4,2016–2018,Vatanım Sensin,"Comedy, Back to top",1 seasons,13,,"Basak Köklükaya, Hakan Yilmaz, Mustafa Üstündag, Basak Köklükaya, Hakan Yilmaz, Mustafa Üstündag"
"Kibar Ana, her son and three daughters, loses her life because of Viagra, whom her husband takes too much, and then falls in the waters of the dam in the village and setstles next to her children in Istanbul.",88.0,6.2,2001–2002,Vay Anam Vay,"Drama, History, War, Back to top",2 seasons,35,Akli Film,"Bugra Gülsoy, Ekin Koç, Hatice Sendil, Bugra Gülsoy, Ekin Koç, Hatice Sendil"
,0.0,,2015,Vazgecmeyenler,"Animation, Comedy, Back to top",1 seasons,4,,"Beril Su Hatirnaz, Abdulkerim Tunc, Beril Su Hatirnaz, Abdulkerim Tunc"
"Salih, who had to earn a living for his family at a young age, earns his living by driving a minibus. His meeting with Bahar will change everything.",61.0,5.3,2007–2008,Vazgeç Gönlüm,"Talk-Show, Back to top",3 seasons,92,,"Okan Bayülgen, Ödül Turan, Merve Sevi, Okan Bayülgen, Ödül Turan, Merve Sevi"
,0.0,,2003–2010,Ve Insan,"Comedy, Drama, Back to top",1 seasons,8,Ay Yapim,"Öner Erkan, Songül Öden, Haluk Bilginer, Öner Erkan, Songül Öden, Haluk Bilginer"
"It's not enough just to have a great voice to win in the ""Ve Kazanan"" contest. Competitors need to take the risk and make the right decision at the right time.",40.0,1.3,2015,Ve Kazanan,"Comedy, Back to top",1 seasons,Unknown,,"Pelin Akil, Belçim Bilgin, Can Bonomo, Pelin Akil, Belçim Bilgin, Can Bonomo"
